description;amount;operation_time;hide;master;currency_id;category_id;card_id;parent_transaction_id;user_id;operation_type
Перевод на счет;-1475.25;2025-07-16 04:55:16;0;0;1;8;5;;3;OUTGOING
Выплата займа (1625);2970.56;2025-09-07 07:00:33;1;0;1;5;3;;2;INCOMING
Перевод на счет (5524);-4872.02;2025-08-01 12:09:11;1;1;2;2;2;;1;OUTGOING
Кредитный платеж;768.80;2025-07-23 18:50:42;1;0;2;2;2;;1;INCOMING
Вывод на карту (3490);-3191.32;2025-11-11 16:57:12;1;0;2;8;6;;3;OUTGOING
Выплата процентов (9014);925.22;2025-10-26 05:23:33;1;0;2;5;4;226;2;INCOMING
Вывод на карту;309.14;2025-10-02 05:43:11;0;0;2;6;4;;2;TRANSFER
Кредитный платеж (1099);4092.21;2025-08-03 04:33:17;1;0;2;8;6;;3;INCOMING
Платеж в сервис;4002.45;2025-09-18 19:00:53;0;0;1;5;3;;2;TRANSFER
Вывод на карту (7036);-4941.41;2025-08-06 04:57:46;0;1;1;2;1;;1;OUTGOING
Купил ленту;1631.31;2025-07-08 13:15:06;1;0;1;3;1;;1;TRANSFER
Приход с карты;-2833.40;2025-09-01 17:13:45;0;0;2;9;6;;3;OUTGOING
Купил ленту (8055);3045.20;2025-05-26 13:54:57;1;1;2;4;4;;2;TRANSFER
Оплата товара;3452.88;2025-05-28 17:00:04;1;1;2;8;6;156;3;INCOMING
Расход на поездку;491.99;2025-10-23 05:42:44;0;1;2;6;4;;2;TRANSFER
Выплата займа;447.34;2025-08-07 08:16:47;1;1;2;6;4;;2;TRANSFER
Приход с карты;2017.52;2025-10-07 07:53:42;0;0;1;1;1;;1;TRANSFER
Вывод на карту (928);3523.47;2025-07-08 03:38:49;1;1;1;3;1;;1;INCOMING
Вывод на карту;2231.07;2025-11-08 17:30:43;1;1;1;8;5;;3;TRANSFER
Зарплата (913);-4269.25;2025-10-07 04:55:49;0;0;1;6;3;;2;OUTGOING
Выплата процентов;-4323.29;2025-11-09 22:06:06;0;1;2;1;2;;1;OUTGOING
Вывод на карту (5104);4835.16;2025-09-12 12:42:08;1;1;1;8;5;;3;TRANSFER
Зарплата;1986.37;2025-06-07 06:03:08;1;1;2;2;2;;1;TRANSFER
Капитализация;1626.36;2025-07-08 16:12:25;1;0;1;4;3;;2;TRANSFER
Кредитный платеж;3404.10;2025-09-26 16:00:27;1;1;1;2;1;;1;INCOMING
Выплата займа (9472);-1716.49;2025-09-25 05:49:10;1;1;2;6;4;;2;OUTGOING
Зарплата (2196);1294.00;2025-10-12 08:06:34;0;1;1;3;1;;1;TRANSFER
Выплата займа;3940.66;2025-07-18 11:21:15;1;1;1;5;3;;2;INCOMING
Выплата процентов;357.01;2025-10-26 22:23:05;0;1;1;6;3;;2;TRANSFER
Перевод на счет;2046.55;2025-08-30 07:53:15;1;0;1;2;1;;1;INCOMING
Расход на поездку;-1567.76;2025-05-30 06:40:58;1;1;1;1;1;;1;OUTGOING
Расход на поездку;-647.90;2025-08-05 21:41:50;1;1;1;2;1;;1;OUTGOING
Оплата товара;1866.13;2025-05-22 08:52:38;1;0;1;4;3;;2;TRANSFER
Вывод на карту;1561.15;2025-06-07 07:45:49;1;0;1;7;5;;3;INCOMING
Расход на поездку;2621.06;2025-08-05 21:29:52;0;1;2;5;4;;2;TRANSFER
Купил ленту (3775);4924.41;2025-06-26 20:24:21;0;0;1;1;1;;1;TRANSFER
Купил ленту;3856.48;2025-09-09 00:00:23;0;0;1;9;5;;3;INCOMING
Купил ленту;-2736.86;2025-08-13 05:27:22;0;0;1;3;1;;1;OUTGOING
Купил ленту;2602.03;2025-09-08 22:33:02;0;1;2;1;2;;1;TRANSFER
Зарплата (1841);994.03;2025-06-24 18:58:53;1;0;1;8;5;;3;INCOMING
Оплата товара;-3441.33;2025-08-14 08:31:56;0;0;1;4;3;;2;OUTGOING
Перевод на счет;376.17;2025-09-27 01:54:48;1;0;2;2;2;;1;TRANSFER
Расход на поездку (2962);-4261.39;2025-07-23 16:11:29;1;1;2;6;4;;2;OUTGOING
Перевод на счет;-1643.98;2025-10-27 20:25:24;1;0;1;2;1;;1;OUTGOING
Купил ленту;1359.89;2025-07-28 06:21:18;1;1;1;3;1;;1;INCOMING
Перевод на счет;-4907.86;2025-10-18 19:39:19;0;1;1;3;1;;1;OUTGOING
Перевод на счет;3057.18;2025-10-22 02:23:29;0;1;2;8;6;;3;INCOMING
Оплата товара (5248);-3523.14;2025-09-18 20:43:01;0;1;2;6;4;;2;OUTGOING
Купил ленту;-2410.17;2025-09-16 07:17:38;1;0;1;9;5;;3;OUTGOING
Оплата товара;-2528.33;2025-08-12 07:23:32;1;0;1;7;5;;3;OUTGOING
Капитализация;-2535.14;2025-08-26 22:12:18;1;1;1;4;3;;2;OUTGOING
Приход с карты;1580.99;2025-11-12 08:33:42;0;0;2;5;4;;2;INCOMING
Приход с карты;3188.05;2025-10-27 01:20:35;0;1;1;8;5;;3;TRANSFER
Расход на поездку;3000.16;2025-09-25 20:01:37;1;1;1;1;1;;1;TRANSFER
Оплата товара;4822.20;2025-07-11 09:25:59;1;0;1;7;5;;3;TRANSFER
Выплата займа;535.70;2025-09-06 18:56:37;0;0;1;5;3;;2;INCOMING
Приход с карты;-4633.21;2025-10-17 13:55:05;0;1;2;2;2;;1;OUTGOING
Расход на поездку (895);4676.61;2025-10-17 19:44:59;1;0;1;9;5;;3;TRANSFER
Приход с карты;3031.20;2025-07-16 18:25:45;1;1;1;9;5;;3;TRANSFER
Купил ленту;2264.78;2025-06-12 20:13:49;1;1;2;3;2;;1;INCOMING
Вывод на карту (4860);1727.12;2025-09-17 20:43:07;0;1;1;6;3;;2;TRANSFER
Кредитный платеж;3550.91;2025-09-18 04:47:45;1;1;2;4;4;;2;TRANSFER
Перевод на счет (1027);-1335.62;2025-10-08 05:33:47;1;1;2;1;2;;1;OUTGOING
Вывод на карту;-1794.05;2025-08-09 07:16:20;0;1;2;7;6;;3;OUTGOING
Выплата займа;1938.39;2025-11-08 01:01:00;1;0;2;7;6;;3;INCOMING
Вывод на карту;3548.02;2025-07-25 00:42:20;0;0;2;2;2;;1;TRANSFER
Перевод на счет;2569.72;2025-07-26 17:33:37;1;1;1;9;5;;3;TRANSFER
Оплата товара;4687.53;2025-05-27 00:36:27;1;0;2;3;2;;1;TRANSFER
Расход на поездку;1791.07;2025-10-07 23:04:48;1;0;2;7;6;;3;TRANSFER
Купил ленту;460.64;2025-06-28 15:38:23;0;1;1;8;5;;3;INCOMING
Платеж в сервис;45.01;2025-09-17 05:52:42;1;0;2;3;2;;1;TRANSFER
Оплата товара;1907.48;2025-10-10 03:40:35;0;1;1;8;5;;3;INCOMING
Платеж в сервис;2572.03;2025-08-19 09:48:06;1;0;1;5;3;;2;INCOMING
Платеж в сервис (1672);-4858.17;2025-10-06 00:48:00;0;0;2;1;2;;1;OUTGOING
Приход с карты (7230);4083.95;2025-06-01 19:37:28;0;0;2;2;2;;1;TRANSFER
Приход с карты (4227);353.14;2025-10-14 17:27:34;1;1;1;2;1;;1;TRANSFER
Капитализация (2038);30.49;2025-09-26 11:41:53;0;0;2;6;4;;2;TRANSFER
Зарплата;3033.22;2025-07-09 12:13:10;1;1;1;5;3;;2;INCOMING
Перевод на счет;-3734.02;2025-10-10 06:06:44;1;0;2;2;2;;1;OUTGOING
Оплата товара;707.73;2025-05-27 08:31:26;1;0;2;8;6;;3;TRANSFER
Вывод на карту;4257.44;2025-06-14 11:28:13;0;0;2;9;6;;3;TRANSFER
Перевод на счет;4261.40;2025-10-20 02:03:32;1;0;1;2;1;;1;TRANSFER
Вывод на карту;4757.75;2025-07-23 02:54:06;0;0;1;5;3;;2;INCOMING
Расход на поездку;3297.45;2025-09-21 15:48:11;0;1;2;2;2;;1;TRANSFER
Капитализация (3729);3699.34;2025-08-06 08:07:12;1;0;1;3;1;;1;TRANSFER
Расход на поездку;2435.37;2025-06-08 10:13:16;0;1;2;4;4;;2;INCOMING
Выплата займа;-3637.40;2025-10-27 09:57:30;0;1;2;3;2;;1;OUTGOING
Платеж в сервис;2361.05;2025-10-06 08:54:58;1;1;2;1;2;;1;TRANSFER
Перевод на счет;453.68;2025-07-24 07:57:48;0;0;2;9;6;;3;TRANSFER
Расход на поездку (9379);3297.41;2025-11-10 00:40:54;1;1;1;7;5;;3;TRANSFER
Приход с карты (3934);-3343.26;2025-08-21 01:19:42;1;1;1;5;3;;2;OUTGOING
Выплата процентов;4842.24;2025-09-10 21:04:24;1;1;1;3;1;;1;TRANSFER
Выплата процентов;3267.03;2025-10-17 05:17:25;1;1;2;1;2;;1;TRANSFER
Расход на поездку;33.98;2025-10-25 14:27:07;1;0;2;4;4;;2;TRANSFER
Вывод на карту (2678);3010.50;2025-10-13 21:18:36;0;1;2;8;6;;3;INCOMING
Расход на поездку (2741);4166.99;2025-05-23 21:01:51;0;0;2;6;4;;2;TRANSFER
Кредитный платеж (2825);4612.31;2025-08-20 19:57:07;1;0;1;3;1;;1;INCOMING
Вывод на карту;4336.64;2025-06-19 12:54:45;1;0;1;6;3;;2;INCOMING
Перевод на счет;4611.84;2025-09-04 05:05:17;0;0;2;2;2;;1;INCOMING
Вывод на карту;3422.15;2025-10-15 14:36:19;0;0;1;2;1;;1;TRANSFER
Платеж в сервис;-466.86;2025-09-15 12:38:24;0;1;1;9;5;;3;OUTGOING
Вывод на карту;3947.99;2025-07-27 11:00:21;0;1;2;1;2;;1;INCOMING
Зарплата;2043.82;2025-06-22 20:38:05;0;0;1;3;1;336;1;TRANSFER
Купил ленту;-2130.93;2025-09-02 04:51:48;1;1;2;3;2;;1;OUTGOING
Вывод на карту;2412.86;2025-07-25 11:23:03;1;1;2;5;4;;2;TRANSFER
Выплата займа (2051);1149.63;2025-10-07 19:05:46;0;0;2;7;6;;3;TRANSFER
Перевод на счет;27.45;2025-06-05 05:34:00;0;1;1;6;3;;2;TRANSFER
Вывод на карту;189.74;2025-07-28 00:21:09;1;1;2;3;2;;1;TRANSFER
Выплата процентов;-1009.33;2025-09-15 01:48:14;1;0;1;1;1;;1;OUTGOING
Кредитный платеж (690);1197.04;2025-05-19 21:18:18;0;0;1;8;5;;3;INCOMING
Купил ленту;77.82;2025-09-23 11:42:39;0;1;2;6;4;;2;TRANSFER
Капитализация;1132.25;2025-11-09 04:28:15;1;1;2;9;6;90;3;INCOMING
Платеж в сервис (4921);4735.13;2025-10-11 08:46:28;1;1;1;6;3;;2;INCOMING
Вывод на карту;3408.29;2025-10-28 05:02:49;0;1;2;4;4;;2;INCOMING
Выплата процентов;2062.72;2025-07-22 09:26:24;0;1;1;4;3;;2;INCOMING
Приход с карты;-2383.30;2025-07-22 11:20:52;1;0;2;6;4;;2;OUTGOING
Выплата займа (4065);1034.69;2025-06-25 08:00:56;0;1;2;1;2;;1;INCOMING
Выплата процентов;3069.52;2025-10-04 09:35:57;0;1;1;2;1;;1;INCOMING
Расход на поездку (8474);1990.00;2025-10-01 20:47:45;0;0;2;6;4;;2;INCOMING
Платеж в сервис;3879.74;2025-08-10 03:09:03;0;1;1;5;3;;2;TRANSFER
Купил ленту;1808.65;2025-10-21 23:13:18;0;1;1;1;1;;1;INCOMING
Капитализация (7045);-2096.05;2025-10-02 05:32:59;1;1;2;8;6;;3;OUTGOING
Кредитный платеж;-3604.36;2025-10-11 13:43:21;1;1;1;7;5;;3;OUTGOING
Расход на поездку;-2108.18;2025-06-13 00:58:54;1;1;1;8;5;;3;OUTGOING
Купил ленту (2776);-1078.12;2025-07-04 14:35:44;0;1;1;9;5;;3;OUTGOING
Платеж в сервис;1721.36;2025-08-01 22:52:16;1;0;2;6;4;;2;INCOMING
Зарплата;2552.71;2025-10-06 06:57:35;1;0;1;8;5;;3;TRANSFER
Перевод на счет;2109.66;2025-09-07 01:14:38;1;0;1;4;3;;2;INCOMING
Капитализация;1338.09;2025-09-12 20:55:39;1;1;2;2;2;;1;TRANSFER
Купил ленту (478);-3639.13;2025-09-16 00:00:05;0;0;2;7;6;;3;OUTGOING
Расход на поездку;-3854.90;2025-08-22 03:40:11;0;0;1;2;1;;1;OUTGOING
Зарплата (4755);3132.78;2025-06-12 11:10:52;0;0;2;1;2;;1;INCOMING
Расход на поездку;4674.35;2025-08-26 13:46:47;0;0;2;6;4;;2;TRANSFER
Платеж в сервис;1549.00;2025-07-21 07:49:52;0;0;2;8;6;;3;TRANSFER
Перевод на счет;-2617.06;2025-10-03 07:53:30;0;1;2;5;4;;2;OUTGOING
Расход на поездку (7152);2985.42;2025-10-10 06:05:57;1;0;2;2;2;;1;INCOMING
Вывод на карту (6485);1103.74;2025-06-03 02:15:00;0;1;2;5;4;;2;INCOMING
Купил ленту (1221);-683.98;2025-06-08 16:48:13;1;1;2;8;6;;3;OUTGOING
Капитализация (913);111.63;2025-11-10 20:32:27;1;1;1;4;3;;2;TRANSFER
Вывод на карту (341);1086.72;2025-08-03 11:30:50;1;1;1;8;5;;3;INCOMING
Приход с карты;-281.14;2025-10-06 10:53:05;0;1;2;1;2;;1;OUTGOING
Оплата товара (4178);3856.36;2025-08-07 13:39:19;0;0;2;5;4;;2;INCOMING
Расход на поездку;4681.14;2025-06-17 09:15:56;0;0;1;2;1;;1;INCOMING
Капитализация;1089.72;2025-06-09 03:54:54;1;1;1;4;3;;2;TRANSFER
Купил ленту;-4844.21;2025-09-01 10:19:00;1;0;1;5;3;;2;OUTGOING
Расход на поездку (5644);301.20;2025-07-22 19:54:01;0;0;1;1;1;;1;TRANSFER
Расход на поездку;-3446.56;2025-07-23 07:20:51;0;1;2;4;4;;2;OUTGOING
Платеж в сервис;-2833.94;2025-08-25 16:30:17;1;1;2;5;4;;2;OUTGOING
Приход с карты;1479.07;2025-07-06 05:43:58;1;1;1;7;5;;3;INCOMING
Выплата займа (406);4284.29;2025-10-06 12:27:20;0;1;2;9;6;;3;TRANSFER
Вывод на карту;3828.90;2025-06-16 13:54:44;1;1;2;8;6;;3;INCOMING
Платеж в сервис;-4176.13;2025-06-12 04:41:20;0;0;1;1;1;;1;OUTGOING
Кредитный платеж;3289.95;2025-08-22 11:36:44;1;0;1;2;1;;1;INCOMING
Оплата товара;-3279.09;2025-11-02 22:46:05;0;1;1;9;5;;3;OUTGOING
Капитализация;-4118.39;2025-07-06 16:23:15;0;0;2;8;6;;3;OUTGOING
Приход с карты;1927.27;2025-06-23 14:20:24;0;0;1;3;1;;1;TRANSFER
Выплата процентов;2294.14;2025-09-16 13:54:40;0;0;1;4;3;;2;TRANSFER
Выплата процентов (9929);4667.67;2025-10-29 06:47:57;1;1;2;8;6;;3;INCOMING
Кредитный платеж (9039);-1875.94;2025-08-26 21:05:43;1;1;2;5;4;;2;OUTGOING
Выплата займа (4760);82.50;2025-06-13 03:38:04;1;0;1;5;3;;2;TRANSFER
Оплата товара;4111.86;2025-11-01 06:37:42;0;0;2;1;2;;1;TRANSFER
Зарплата;1250.03;2025-07-04 23:02:15;1;0;1;3;1;;1;TRANSFER
Выплата займа;865.34;2025-10-15 11:06:39;0;1;1;1;1;;1;INCOMING
Приход с карты;1740.30;2025-10-13 22:06:58;1;0;2;7;6;;3;INCOMING
Выплата процентов;271.59;2025-08-22 05:24:00;1;0;1;8;5;;3;INCOMING
Оплата товара;4855.23;2025-10-02 08:20:01;0;0;1;2;1;;1;INCOMING
Перевод на счет;2857.63;2025-05-28 17:05:17;1;1;1;4;3;;2;INCOMING
Перевод на счет;-2439.82;2025-09-14 05:46:38;0;0;1;4;3;;2;OUTGOING
Выплата процентов;-563.54;2025-08-02 06:44:19;1;1;2;4;4;;2;OUTGOING
Зарплата (5829);4108.10;2025-10-11 08:08:34;0;1;1;7;5;;3;TRANSFER
Выплата процентов;4263.97;2025-06-09 01:30:36;0;0;1;3;1;;1;TRANSFER
Капитализация;-1526.29;2025-08-12 15:36:22;1;0;1;6;3;;2;OUTGOING
Платеж в сервис;4961.52;2025-09-21 22:46:17;0;1;2;3;2;;1;TRANSFER
Зарплата (4753);-3946.15;2025-09-08 01:40:19;0;1;1;9;5;;3;OUTGOING
Выплата процентов (6001);-96.37;2025-10-22 23:16:38;1;0;2;2;2;;1;OUTGOING
Капитализация;2658.27;2025-06-22 09:23:14;1;0;1;7;5;;3;TRANSFER
Капитализация;785.87;2025-07-21 06:09:12;1;1;2;9;6;;3;TRANSFER
Оплата товара;4452.12;2025-10-13 12:15:12;0;1;2;7;6;;3;INCOMING
Приход с карты;4803.07;2025-09-07 01:50:28;0;1;1;4;3;;2;TRANSFER
Кредитный платеж;659.73;2025-09-14 06:44:45;0;0;2;5;4;;2;TRANSFER
Купил ленту;-3281.50;2025-08-29 12:11:29;0;1;1;7;5;;3;OUTGOING
Перевод на счет;-3635.67;2025-10-04 14:44:36;1;1;1;8;5;;3;OUTGOING
Перевод на счет;-658.60;2025-05-24 13:14:25;1;0;2;9;6;;3;OUTGOING
Капитализация (7908);-2512.12;2025-09-05 16:25:08;1;0;1;8;5;;3;OUTGOING
Вывод на карту (6794);-4627.25;2025-11-06 20:55:11;0;0;1;1;1;;1;OUTGOING
Выплата займа;4438.05;2025-08-04 19:06:17;0;1;2;6;4;;2;INCOMING
Платеж в сервис (7585);-4389.02;2025-07-03 01:34:54;1;0;1;9;5;;3;OUTGOING
Вывод на карту (6621);3868.61;2025-07-10 07:12:54;0;1;1;8;5;;3;INCOMING
Расход на поездку;453.11;2025-08-17 22:54:21;0;0;1;2;1;;1;INCOMING
Перевод на счет;4479.08;2025-10-25 16:40:24;0;1;1;5;3;;2;TRANSFER
Выплата займа;-571.71;2025-08-08 17:27:55;1;0;1;9;5;;3;OUTGOING
Купил ленту;-3841.53;2025-10-31 00:59:46;0;0;1;7;5;;3;OUTGOING
Купил ленту;3843.38;2025-08-08 03:53:59;0;0;1;7;5;;3;TRANSFER
Оплата товара;2717.96;2025-05-20 20:54:23;1;0;2;1;2;;1;INCOMING
Купил ленту;3000.91;2025-07-02 21:13:30;1;0;2;4;4;;2;TRANSFER
Оплата товара (631);2890.89;2025-09-05 10:15:26;1;0;2;1;2;;1;TRANSFER
Выплата процентов (9847);3936.75;2025-06-20 18:30:55;1;1;1;1;1;;1;TRANSFER
Капитализация;-3792.45;2025-10-18 15:09:42;0;1;2;5;4;;2;OUTGOING
Капитализация;1050.02;2025-06-26 11:09:51;0;0;2;9;6;;3;TRANSFER
Расход на поездку;4669.52;2025-11-13 08:47:13;1;1;1;9;5;;3;TRANSFER
